open,high,low,close
0.3229,0.323,0.3229,0.323
0.323,0.329,0.3175,0.3266
0.3266,0.3266,0.3176,0.3266
0.3266,0.3557,0.318,0.3188
0.3188,0.405,0.3176,0.3176
0.3176,0.45,0.3176,0.4
0.4,0.4,0.385,0.386
0.386,0.4,0.386,0.3868
0.3868,0.3868,0.315,0.3495
0.3495,0.3495,0.305,0.313
0.313,0.313,0.305,0.313
0.313,0.39,0.31,0.39
0.39,0.44,0.368,0.4199
0.4199,0.4443,0.39,0.4443
0.4443,0.4443,0.42,0.4424
0.4424,0.4424,0.381,0.4199
0.4199,0.425,0.4,0.41
0.41,0.42,0.3904,0.417
0.417,0.45,0.4085,0.4212
0.4212,0.446,0.4212,0.446
0.446,0.446,0.43,0.439
0.439,0.48,0.439,0.4799
0.4799,0.95,0.47,0.52
0.52,0.85,0.52,0.7
0.7,0.76,0.69,0.716
0.716,0.75,0.6501,0.69
0.69,0.88,0.67,0.811
0.811,0.92,0.811,0.92
0.92,0.92,0.83,0.8997
0.8997,0.9,0.83,0.89
0.89,0.918,0.8617,0.918
0.918,1.09,0.82,1.09
1.09,1.1,0.8,0.9803
0.9803,1.09,0.9264,1.07
1.07,1.08,0.9906,1.08
1.08,1.08,1.02,1.05
1.05,1.08,1.03,1.07
1.07,1.09,1.03,1.05
1.05,1.05,1.02,1.05
1.05,1.05,1.02,1.04
1.04,1.04,0.7801,0.8989
0.8989,0.98,0.8376,0.949
0.949,0.949,0.83,0.85
0.85,0.8796,0.8313,0.8345
0.8345,0.95,0.8313,0.8702
0.8702,0.945,0.8681,0.9
0.9,1,0.9,0.9974
0.9974,0.9998,0.9111,0.9111
0.9111,0.97,0.9106,0.958
0.958,0.958,0.89,0.89
0.89,0.92,0.845,0.86
0.86,0.97,0.8502,0.9202
0.9202,0.94,0.9102,0.9399
0.9399,0.9399,0.91,0.9391
0.9391,0.9391,0.9001,0.901
0.901,0.9189,0.8111,0.9103
0.9103,0.9103,0.81,0.8999
0.8999,0.909,0.846,0.885
0.885,0.885,0.85,0.87
0.87,0.87,0.85,0.8645
0.8645,0.9329,0.8497,0.9329
0.9329,0.9329,0.8601,0.88
0.88,0.9197,0.88,0.918
0.918,0.918,0.8898,0.8925
0.8925,0.9,0.88,0.8949
0.8949,0.8949,0.87,0.87
